sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
0,441;759;;1000rounds;Yes;Yes;2;0,65795;0,81501;0,00000;0,14408;1,47297;Gahboninho@1976;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1977;0.775;0.96;0.6579545319227289;0.8150146459946062;0.0;0.8150146459946062;0.0;0.0;0.6579545319227289;0.8150146459946062;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,543;776;;1000rounds;Yes;Yes;2;0,65554;0,81203;0,00000;0,14355;1,46757;Agent_K2@1978;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1979;0.775;0.96;0.6555429649990944;0.8120274147085556;0.0;0.8120274147085556;0.0;0.0;0.6555429649990944;0.8120274147085556;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,366;831;;1000rounds;Yes;Yes;2;0,57675;0,77318;0,00000;0,12786;1,34993;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1980;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1981;0.925;0.6900000000000001;0.7731821124191695;0.576752062237002;0.7731821124191695;0.576752062237002;0.0;0.0;0.7731821124191695;0.576752062237002;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,365;820;;1000rounds;Yes;Yes;2;0,65353;0,67029;0,08956;0,09414;1,32382;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1982;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1983;0.8;0.78;0.6702887509720914;0.6535315321977891;0.6702887509720914;0.6535315321977891;0.0;0.0;0.6702887509720914;0.6535315321977891;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,361;839;;1000rounds;Yes;Yes;2;0,55072;0,76768;0,02538;0,15164;1,31840;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1984;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1985;0.92;0.6599999999999999;0.7676750668267747;0.5507234175061644;0.7676750668267747;0.5507234175061644;0.0;0.0;0.7676750668267747;0.5507234175061644;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,326;815;;1000rounds;Yes;Yes;2;0,68779;0,74231;0,00000;0,07336;1,43010;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1986;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1987;0.82;0.885;0.687788376597522;0.7423081869375695;0.687788376597522;0.7423081869375695;0.0;0.0;0.687788376597522;0.7423081869375695;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,326;815;;1000rounds;Yes;Yes;2;0,70456;0,75070;0,00000;0,00000;1,45526;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1988;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1989;0.895;0.8400000000000001;0.7506958500668076;0.7045637028559982;0.7506958500668076;0.7045637028559982;0.0;0.0;0.7506958500668076;0.7045637028559982;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,346;825;;1000rounds;Yes;Yes;2;0,62353;0,66957;0,11245;0,11245;1,29310;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1990;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1991;0.8;0.745;0.6695652334223798;0.6235326236245912;0.6695652334223798;0.6235326236245912;0.0;0.0;0.6695652334223798;0.6235326236245912;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,342;839;;1000rounds;Yes;Yes;2;0,50066;0,75516;0,06355;0,20044;1,25582;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1992;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1993;0.905;0.6000000000000001;0.7551586255198164;0.5006576522783314;0.7551586255198164;0.5006576522783314;0.0;0.0;0.7551586255198164;0.5006576522783314;Grocery_domain_sam.xml;Grocery_domain_mary.xml
0,318;820;;1000rounds;Yes;Yes;2;0,65353;0,67029;0,08956;0,09414;1,32382;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1994;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1995;0.8;0.78;0.6702887509720914;0.6535315321977891;0.6702887509720914;0.6535315321977891;0.0;0.0;0.6702887509720914;0.6535315321977891;Grocery_domain_sam.xml;Grocery_domain_mary.xml
