Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;User Bother 1;User Bother 2;User Util. 1;User Util. 2;Profile 1;Profile 2
5,376;905;;1000rounds;Yes;Yes;2;0,39160;0,45520;0,07509;0,09047;0,84680;Agent_K@1404;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1405;0.5077744418150871;0.5902469158954959;0.39159672523394556;0.45519967196041855;0.0;0.45519967196041855;0.0;0.0;0.39159672523394556;0.45519967196041855;Energy-A-prof1.xml;Energy-A-prof2.xml
15,000;835;;1000rounds;Yes;Yes;2;0,32614;0,52560;0,08744;0,17152;0,85174;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1406;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1407;0.6679611434045087;0.41447240575880234;0.5256012482251349;0.326137554516065;0.5256012482251349;0.326137554516065;0.0;0.0;0.5256012482251349;0.326137554516065;Energy-A-prof1.xml;Energy-A-prof2.xml
20,273;829;;1000rounds;Yes;Yes;2;0,37170;0,43979;0,11450;0,12846;0,81149;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1408;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1409;0.4715611198365753;0.5579448494295477;0.37169957316594276;0.4397899946776181;0.37169957316594276;0.4397899946776181;0.0;0.0;0.37169957316594276;0.4397899946776181;Energy-A-prof1.xml;Energy-A-prof2.xml
24,520;899;;1000rounds;Yes;Yes;2;0,21899;0,52937;0,12706;0,27019;0,74835;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1410;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1411;0.6852374887126891;0.2834645580034656;0.5293686427628551;0.21898575430186978;0.5293686427628551;0.21898575430186978;0.0;0.0;0.5293686427628551;0.21898575430186978;Energy-A-prof1.xml;Energy-A-prof2.xml
16,871;826;;1000rounds;Yes;Yes;2;0,45036;0,45273;0,05662;0,05662;0,90310;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1412;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1413;0.5708681643718199;0.573872317049432;0.4503646952012734;0.45273470703488067;0.4503646952012734;0.45273470703488067;0.0;0.0;0.4503646952012734;0.45273470703488067;Energy-A-prof1.xml;Energy-A-prof2.xml
17,051;829;;1000rounds;Yes;Yes;2;0,45473;0,51519;0,01466;0,04785;0,96993;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1414;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1415;0.6536040785515207;0.5769033879179903;0.5151916619023099;0.4547337217313803;0.5151916619023099;0.4547337217313803;0.0;0.0;0.5151916619023099;0.4547337217313803;Energy-A-prof1.xml;Energy-A-prof2.xml
17,011;812;;1000rounds;Yes;Yes;2;0,46617;0,49304;0,02308;0,03052;0,95921;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1416;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1417;0.6224568889441441;0.588525871963304;0.4930434418767912;0.46616693734168846;0.4930434418767912;0.46616693734168846;0.0;0.0;0.4930434418767912;0.46616693734168846;Energy-A-prof1.xml;Energy-A-prof2.xml
16,849;828;;1000rounds;Yes;Yes;2;0,46227;0,47316;0,03540;0,03540;0,93543;boa-negotiator.boaframework.offeringstrategy.anac2010.Nozomi_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_n_t@1418;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1419;0.600108113102409;0.586293475480538;0.47316039333406046;0.46226812371094256;0.47316039333406046;0.46226812371094256;0.0;0.0;0.47316039333406046;0.46226812371094256;Energy-A-prof1.xml;Energy-A-prof2.xml
26,123;829;;1000rounds;Yes;Yes;2;0,44649;0,49463;0,02572;0,04159;0,94112;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.UniformModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1422;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1423;0.5664429636204835;0.6275217223505354;0.44648848037673805;0.4946327136361167;0.44648848037673805;0.4946327136361167;0.0;0.0;0.44648848037673805;0.4946327136361167;Energy-A-prof1.xml;Energy-A-prof2.xml
22,308;812;;1000rounds;Yes;Yes;2;0,46617;0,49304;0,02308;0,03052;0,95921;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_IAMHaggler2011-negotiator.boaframework.opponentmodel.BayesianModel_m-negotiator.boaframework.omstrategy.OfferBestN_t_n@1424;boa-negotiator.boaframework.offeringstrategy.anac2011.TheNegotiator_Offering-negotiator.boaframework.acceptanceconditions.anac2011.AC_HardHeaded-negotiator.boaframework.opponentmodel.OppositeModel-negotiator.boaframework.omstrategy.OfferBestN_t_n@1425;0.6224568889441441;0.588525871963304;0.4930434418767912;0.46616693734168846;0.4930434418767912;0.46616693734168846;0.0;0.0;0.4930434418767912;0.46616693734168846;Energy-A-prof1.xml;Energy-A-prof2.xml
